weight_mode,calibration_batches,calibration_samples,calibration_observed_batches,calibration_seconds,top1,top5,delta_top1_vs_fp32,delta_top5_vs_fp32,accuracy_loss_top1_pp,accuracy_loss_top5_pp,model_size_mb,avg_latency_ms_per_image,size_ratio_vs_fp32,speedup_vs_fp32
per_tensor,1,32,1,2.6338353329338133,0.543945205479452,0.848986301369863,0.0021369863013699364,0.0004931506849314982,0.21369863013699364,0.049315068493149816,23.26221752166748,21.326161418633205,3.9906656647618095,3.2195453911130865
per_tensor,5,160,5,15.71355483296793,0.5435890410958905,0.8495890410958904,0.0024931506849315,-0.00010958904109592549,0.24931506849315,-0.010958904109592549,23.26221752166748,21.135345497806494,3.9906656647618095,3.24861236418492
per_tensor,10,320,10,26.074866542010568,0.544,0.8488493150684931,0.002082191780821918,0.0006301369863013218,0.2082191780821918,0.06301369863013218,23.26252269744873,21.065860990080857,3.9906133121202756,3.2593277216546714
per_tensor,25,800,25,63.65572941699065,0.543972602739726,0.8486575342465753,0.0021095890410959273,0.0008219178082191636,0.21095890410959273,0.08219178082191636,23.26252269744873,21.861230698902133,3.9906133121202756,3.140744711547387
per_tensor,50,1600,50,153.78822662495077,0.544082191780822,0.8487945205479452,0.0020000000000000018,0.000684931506849229,0.20000000000000018,0.0684931506849229,23.26252269744873,20.76138926239059,3.9906133121202756,3.307126697435096
per_tensor,100,3200,100,261.9899536250159,0.5435890410958905,0.8494246575342466,0.0024931506849315,5.479452054790723e-05,0.24931506849315,0.005479452054790723,23.26276683807373,20.966045469399667,3.9905714309960336,3.2748447868104456
per_channel,1,32,1,2.605671750032343,0.5453972602739726,0.8492602739726027,0.00068493150684934,0.00021917808219173995,0.068493150684934,0.021917808219173995,23.701544761657715,21.479521015046597,3.9166954594501378,3.1965584641015474
per_channel,5,160,5,13.096494666999206,0.5452602739726028,0.848986301369863,0.0008219178082191636,0.0004931506849314982,0.08219178082191636,0.049315068493149816,23.701544761657715,21.118468192118947,3.9166954594501378,3.2512085668749977
per_channel,10,320,10,25.575773250078782,0.5453698630136986,0.849041095890411,0.0007123287671233491,0.0004383561643834799,0.07123287671233491,0.04383561643834799,23.701891899108887,21.07268892412635,3.916638095604053,3.2582716402596374
per_channel,25,800,25,63.94033070898149,0.5454520547945205,0.8487671232876712,0.0006301369863014328,0.0007123287671232381,0.06301369863014328,0.07123287671232381,23.701891899108887,21.748088602856924,3.916638095604053,3.1570840987136086
per_channel,50,1600,50,127.8131914580008,0.5451780821917809,0.8485479452054795,0.00090410958904108,0.0009315068493149781,0.090410958904108,0.0931506849314978,23.701891899108887,20.517619339529144,3.916638095604053,3.346418683829132
per_channel,100,3200,100,255.6623282090295,0.544958904109589,0.8492054794520548,0.001123287671232931,0.0002739726027396472,0.1123287671232931,0.02739726027396472,23.70223903656006,20.545225604523406,3.9165807334382436,3.341922158809363
